UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,EBOOK,2016,10,10,An Abundance of Katherines,,John Green,"Humor (Fiction), Romance, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2011
Digital,OverDrive,EBOOK,2016,11,7,An Abundance of Katherines,,John Green,"Humor (Fiction), Romance, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2011
Digital,OverDrive,EBOOK,2016,12,9,An Abundance of Katherines,,John Green,"Humor (Fiction), Romance, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2011
Digital,OverDrive,EBOOK,2017,1,7,An Abundance of Katherines,,John Green,"Humor (Fiction), Romance, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2011
Digital,OverDrive,EBOOK,2011,9,1,An Abundance of Katherines,,John Green,"Humor (Fiction), Romance, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2011
Digital,OverDrive,EBOOK,2011,10,1,An Abundance of Katherines,,John Green,"Humor (Fiction), Romance, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2011
Digital,OverDrive,EBOOK,2011,11,1,An Abundance of Katherines,,John Green,"Humor (Fiction), Romance, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2011
Digital,OverDrive,EBOOK,2011,12,1,An Abundance of Katherines,,John Green,"Humor (Fiction), Romance, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2011
Digital,OverDrive,EBOOK,2012,1,1,An Abundance of Katherines,,John Green,"Humor (Fiction), Romance, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2011
Digital,OverDrive,EBOOK,2012,2,2,An Abundance of Katherines,,John Green,"Humor (Fiction), Romance, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2011
Digital,OverDrive,EBOOK,2012,3,2,An Abundance of Katherines,,John Green,"Humor (Fiction), Romance, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2011
Digital,OverDrive,EBOOK,2012,4,2,An Abundance of Katherines,,John Green,"Humor (Fiction), Romance, Young Adult Fiction, Young Adult Literature","Penguin Group (USA), Inc.",2011
